current_time,blood_slide_prev,KNY--C1x,KNY--C1X,KNY--C2x,KNY--C2X,KNY--Y1x,KNY--Y1X,KNY--Y2x,KNY--Y2X,KYY--C1x,KYY--C1X,KYY--C2x,KYY--C2X,KYY--Y1x,KYY--Y1X,KYY--Y2x,KYY--Y2X,KNF--C1x,KNF--C1X,KNF--C2x,KNF--C2X,KNF--Y1x,KNF--Y1X,KNF--Y2x,KNF--Y2X,KYF--C1x,KYF--C1X,KYF--C2x,KYF--C2X,KYF--Y1x,KYF--Y1X,KYF--Y2x,KYF--Y2X,KNYNYC1x,KNYNYC1X,KNYNYC2x,KNYNYC2X,KNYNYY1x,KNYNYY1X,KNYNYY2x,KNYNYY2X,KYYYYC1x,KYYYYC1X,KYYYYC2x,KYYYYC2X,KYYYYY1x,KYYYYY1X,KYYYYY2x,KYYYYY2X,KNFNFC1x,KNFNFC1X,KNFNFC2x,KNFNFC2X,KNFNFY1x,KNFNFY1X,KNFNFY2x,KNFNFY2X,KYFYFC1x,KYFYFC1X,KYFYFC2x,KYFYFC2X,KYFYFY1x,KYFYFY1X,KYFYFY2x,KYFYFY2X,TNY--C1x,TNY--C1X,TNY--C2x,TNY--C2X,TNY--Y1x,TNY--Y1X,TNY--Y2x,TNY--Y2X,TYY--C1x,TYY--C1X,TYY--C2x,TYY--C2X,TYY--Y1x,TYY--Y1X,TYY--Y2x,TYY--Y2X,TNF--C1x,TNF--C1X,TNF--C2x,TNF--C2X,TNF--Y1x,TNF--Y1X,TNF--Y2x,TNF--Y2X,TYF--C1x,TYF--C1X,TYF--C2x,TYF--C2X,TYF--Y1x,TYF--Y1X,TYF--Y2x,TYF--Y2X,TNYNYC1x,TNYNYC1X,TNYNYC2x,TNYNYC2X,TNYNYY1x,TNYNYY1X,TNYNYY2x,TNYNYY2X,TYYYYC1x,TYYYYC1X,TYYYYC2x,TYYYYC2X,TYYYYY1x,TYYYYY1X,TYYYYY2x,TYYYYY2X,TNFNFC1x,TNFNFC1X,TNFNFC2x,TNFNFC2X,TNFNFY1x,TNFNFY1X,TNFNFY2x,TNFNFY2X,TYFYFC1x,TYFYFC1X,TYFYFC2x,TYFYFC2X,TYFYFY1x,TYFYFY1X,TYFYFY2x,TYFYFY2X
9982,5.344135,0.11931924999999999,0,0.11401299999999999,0,0.044682900000000005,0,0.076526375,0,0.20528924999999998,0,0.202191,0,0.094420275,0,0.17128425000000003,0,0.00035318525000000003,0,0.00036851400000000007,0,0.00038206875,0,0.0006237669999999999,0,0.000377994,0,0.00042498675,0,0.0005055624999999999,0,0.0008569789999999999,0,0.00035806,0,0.00034727424999999993,0,0.0002764935,0,0.00059030375,0,0.00040946,0,0.00038063875,0,0.0005045282499999999,0,0.00093492475,0,0.0,0,0,0,0.0,0,5.87465e-07,0,0.0,0,0,0,0.0,0,2.426675e-06,0,0.008085745,0,0.008030167500000001,0,0.003719115,0,0.0063565800000000006,0,0.01990625,0,0.018598125,0,0.01424865,0,0.024138725,0,1.4407325000000002e-05,0,9.74246e-06,0,9.496107500000001e-06,0,1.95719e-05,0,1.2307975e-05,0,1.2280675e-05,0,2.1986300000000003e-05,0,5.3222324999999995e-05,0,9.786732500000001e-06,0,9.751177500000001e-06,0,9.576295000000001e-06,0,2.6911299999999998e-05,0,9.7002125e-06,0,9.853952500000001e-06,0,2.9193e-05,0,4.0963575e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10013,5.341782499999999,0.11876975000000001,0,0.11369774999999999,0,0.045889575,0,0.07851069999999999,0,0.2041755,0,0.20092324999999997,0,0.095022575,0,0.17144675,0,0.00033812275,0,0.0003827845,0,0.00040765775,0,0.00066500375,0,0.000394595,0,0.00044087,0,0.0005420995,0,0.00088659975,0,0.00035698075000000005,0,0.00034814524999999993,0,0.000308213,0,0.00062581925,0,0.000401683,0,0.00038455775000000004,0,0.000544876,0,0.0009977045,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,4.7533475e-06,0,0.008150685,0,0.0078927525,0,0.003735835,0,0.006375064999999999,0,0.01971675,0,0.01855795,0,0.014197400000000002,0,0.024128274999999998,0,1.4363274999999998e-05,0,9.7854625e-06,0,9.524082499999998e-06,0,2.0229525e-05,0,1.2239574999999999e-05,0,1.433295e-05,0,2.1170575000000002e-05,0,5.4592875e-05,0,9.662925e-06,0,9.747097499999998e-06,0,9.659425e-06,0,2.7603074999999998e-05,0,7.8548225e-06,0,1.016143e-05,0,2.9999700000000003e-05,0,3.7234075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10043,5.342555,0.11814549999999999,0,0.11287624999999998,0,0.046766075,0,0.079866775,0,0.20289949999999998,0,0.19984925,0,0.095577075,0,0.171219,0,0.000340483,0,0.0003791495,0,0.00041932425,0,0.0006759135,0,0.00043231375,0,0.00045414775000000005,0,0.0005204845,0,0.0008991159999999999,0,0.000376495,0,0.00036584799999999994,0,0.00031605625,0,0.00065428825,0,0.00040044875,0,0.000397757,0,0.0005808370000000001,0,0.0010127745,0,0.0,0,0,0,0.0,0,4.7245775e-06,0,0.0,0,0,0,0.0,0,4.800005e-06,0,0.008101879999999999,0,0.0079688225,0,0.0038020075,0,0.0064518975,0,0.019522025000000002,0,0.018639700000000002,0,0.0141911,0,0.024428349999999998,0,1.4753875e-05,0,9.716745e-06,0,9.764450000000001e-06,0,1.7653875e-05,0,1.2819e-05,0,1.25077e-05,0,2.3590325e-05,0,6.508792499999999e-05,0,1.2100425e-05,0,9.6939575e-06,0,9.6461425e-06,0,3.217697499999999e-05,0,9.62205e-06,0,1.2075775000000002e-05,0,3.1540075e-05,0,4.5522025e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10074,5.367837499999999,0.1182045,0,0.11188075,0,0.047104925000000006,0,0.08113315,0,0.20163050000000002,0,0.197544,0,0.09636407500000001,0,0.17084175,0,0.000357602,0,0.00041209025,0,0.00045524,0,0.0007050050000000001,0,0.00041131124999999996,0,0.000455392,0,0.0005647872500000001,0,0.0009602712499999999,0,0.00042211449999999997,0,0.00037207675,0,0.000358905,0,0.000712293,0,0.00038355599999999996,0,0.00042676974999999995,0,0.0006019225,0,0.0010853725000000002,0,0.0,0,0,0,0.0,0,2.3837325e-06,0,0.0,0,0,0,0.0,0,4.7872025e-06,0,0.0080093325,0,0.0078796775,0,0.00397811,0,0.006507925,0,0.01924865,0,0.0186249,0,0.01424365,0,0.024350700000000003,0,1.6725025e-05,0,9.541292499999999e-06,0,1.2035574999999999e-05,0,1.968625e-05,0,1.4395124999999999e-05,0,1.423815e-05,0,2.648635e-05,0,7.60505e-05,0,1.2127125000000001e-05,0,1.1849450000000002e-05,0,9.7465925e-06,0,3.297134999999999e-05,0,9.783039999999999e-06,0,1.6686425e-05,0,3.1506775e-05,0,4.9300625e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10105,5.3535325,0.1175685,0,0.1107575,0,0.048285549999999997,0,0.0818502,0,0.1999965,0,0.195731,0,0.09740760000000001,0,0.17132425,0,0.0003700495,0,0.000439923,0,0.00049690475,0,0.0007615619999999999,0,0.00043836700000000005,0,0.00047871425,0,0.000584969,0,0.0010111224999999999,0,0.00044015825,0,0.00037846725,0,0.0003972132499999999,0,0.0007605335,0,0.00039699099999999997,0,0.00046708925,0,0.00062731975,0,0.001119225,0,0.0,0,0,0,0.0,0,5.900625e-07,0,0.0,0,0,0,0.0,0,4.8071325e-06,0,0.0079697725,0,0.007764985,0,0.003996029999999999,0,0.00656023,0,0.018795700000000002,0,0.01857855,0,0.01444145,0,0.024030724999999996,0,1.5920199999999997e-05,0,1.1076125000000002e-05,0,1.6165749999999997e-05,0,2.1814674999999998e-05,0,1.6045849999999998e-05,0,1.1931125e-05,0,2.7303725000000003e-05,0,6.90119e-05,0,1.2096100000000001e-05,0,1.2068074999999999e-05,0,1.20012e-05,0,3.484295e-05,0,1.4377299999999999e-05,0,1.6743e-05,0,3.509215e-05,0,4.631455e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10135,5.34877,0.11726325000000001,0,0.11036325,0,0.0492634,0,0.0829094,0,0.19835799999999998,0,0.19441675,0,0.097926825,0,0.17109525,0,0.00035282025000000003,0,0.0004533865,0,0.00052901925,0,0.0008181180000000001,0,0.000474182,0,0.00047743325,0,0.000591374,0,0.00105638,0,0.00042484225,0,0.00038013299999999995,0,0.000390919,0,0.0008018272499999998,0,0.00039956724999999995,0,0.00049114025,0,0.00065238925,0,0.0011782425,0,0.0,0,0,0,0.0,0,4.54048e-06,0,0.0,0,0,0,0.0,0,4.765165000000001e-06,0,0.008087942499999999,0,0.007746992500000001,0,0.004027175000000001,0,0.0066891550000000004,0,0.018947325,0,0.018361675,0,0.014384224999999999,0,0.024064675,0,1.4298575e-05,0,1.4469774999999998e-05,0,1.4419074999999999e-05,0,2.4499475e-05,0,1.757255e-05,0,1.4121699999999999e-05,0,3.4117e-05,0,7.3915775e-05,0,9.6910375e-06,0,1.4152575e-05,0,1.42808e-05,0,4.220915e-05,0,1.4472050000000001e-05,0,1.51082e-05,0,3.461255e-05,0,5.4168424999999996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10166,5.3584575,0.11677825,0,0.10973225,0,0.050063925,0,0.08464195000000001,0,0.19687975,0,0.193633,0,0.09700895,0,0.17192525,0,0.00035441000000000004,0,0.000463586,0,0.0005319685,0,0.0008725584999999999,0,0.0004917105,0,0.00050009575,0,0.0006082147500000001,0,0.0010479250000000001,0,0.0004158185,0,0.00039999575000000003,0,0.0003898905,0,0.00089370375,0,0.00043452825000000003,0,0.000512436,0,0.0006986567500000001,0,0.0011814675,0,0.0,0,0,0,0.0,0,2.8617225e-06,0,0.0,0,0,0,0.0,0,4.7403225e-06,0,0.008094425,0,0.007731695,0,0.00402627,0,0.006814590000000001,0,0.018899475,0,0.018682,0,0.014408275,0,0.024020049999999998,0,1.6963575e-05,0,1.4386825000000001e-05,0,1.4958775000000001e-05,0,3.1092025e-05,0,1.40604e-05,0,1.3638350000000001e-05,0,3.98399e-05,0,6.7214725e-05,0,9.662517499999999e-06,0,1.4081949999999998e-05,0,1.3595825e-05,0,4.253404999999999e-05,0,1.44439e-05,0,1.75522e-05,0,3.7949525e-05,0,5.153385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10196,5.365254999999999,0.11542625,0,0.109607,0,0.051097199999999995,0,0.085833725,0,0.19477175000000002,0,0.19272150000000002,0,0.097502775,0,0.172387,0,0.00035701575000000006,0,0.00045665675,0,0.000548207,0,0.0009207095,0,0.0005129345000000001,0,0.0005312989999999999,0,0.0005963300000000001,0,0.0010898875,0,0.000464726,0,0.00040872524999999995,0,0.0004302645,0,0.00098190325,0,0.00045418549999999997,0,0.00053229525,0,0.0007216187500000001,0,0.0011881475,0,0.0,0,0,0,0.0,0,4.6483525e-06,0,0.0,0,0,0,0.0,0,4.709032500000001e-06,0,0.008209707500000002,0,0.007733355,0,0.004002255,0,0.007042232500000001,0,0.018688275,0,0.0188816,0,0.0144097,0,0.024330675,0,2.3006225e-05,0,1.4425399999999999e-05,0,1.496205e-05,0,2.872915e-05,0,1.4259675e-05,0,1.4896000000000001e-05,0,4.010775e-05,0,8.449559999999998e-05,0,1.2346975e-05,0,1.4501575e-05,0,1.4164025e-05,0,4.0569749999999996e-05,0,1.43515e-05,0,1.970595e-05,0,3.7321274999999996e-05,0,5.9710075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10227,5.3594675,0.1155575,0,0.109021,0,0.052325674999999995,0,0.08680925,0,0.19400974999999998,0,0.192239,0,0.09798937499999999,0,0.17267675000000002,0,0.00039190424999999997,0,0.0005040019999999999,0,0.0005690737500000001,0,0.000988503,0,0.000521788,0,0.0005634149999999999,0,0.00057483075,0,0.0011411975,0,0.00050793725,0,0.00042617325,0,0.000456415,0,0.00106639,0,0.0004908682500000001,0,0.000527368,0,0.0007422910000000002,0,0.0012300000000000002,0,0.0,0,0,0,0.0,0,2.92399e-06,0,0.0,0,0,0,0.0,0,4.836035000000001e-06,0,0.008125005,0,0.007824845,0,0.0040213725,0,0.007191285,0,0.018340824999999998,0,0.018585100000000004,0,0.014468974999999999,0,0.024441875,0,1.7104874999999998e-05,0,1.4050850000000001e-05,0,1.5019800000000001e-05,0,3.1123025e-05,0,1.6628475000000003e-05,0,1.8251825e-05,0,3.5986325000000007e-05,0,7.9733625e-05,0,1.39456e-05,0,1.4342575e-05,0,1.2512249999999999e-05,0,4.384115e-05,0,1.4351725000000002e-05,0,1.9791775e-05,0,3.945705e-05,0,5.9675725e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
10258,5.361315,0.11479974999999999,0,0.10926175,0,0.053371975,0,0.08862534999999999,0,0.19277075,0,0.19048575000000004,0,0.097942675,0,0.17332350000000002,0,0.00041574324999999997,0,0.0005284229999999999,0,0.00056315325,0,0.0010589075,0,0.000550303,0,0.0005749017500000001,0,0.0006525702500000001,0,0.0011823449999999998,0,0.000490115,0,0.00044730724999999995,0,0.00044415750000000004,0,0.0010694625,0,0.0004962047500000001,0,0.0005413865,0,0.00079659725,0,0.0012742925,0,0.0,0,0,0,0.0,0,4.6594475e-06,0,0.0,0,0,0,0.0,0,4.7383375e-06,0,0.008129515,0,0.0078093775,0,0.0041247175,0,0.007377622499999999,0,0.018501975,0,0.01824365,0,0.014625824999999999,0,0.0242287,0,2.1096475000000002e-05,0,1.4107749999999997e-05,0,1.3980899999999999e-05,0,3.3931775000000004e-05,0,1.9532625000000002e-05,0,2.1417300000000002e-05,0,3.753725e-05,0,8.0362175e-05,0,1.2304025000000001e-05,0,1.6015075e-05,0,1.16786e-05,0,4.2232675e-05,0,1.415985e-05,0,1.9561375e-05,0,4.0638275e-05,0,6.0118800000000005e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
