time_elapsed,population,blood_slide_prevalence,monthly_ntf_raw,ntf_percent,KNY--C1x,KNY--C1X,KNY--C2x,KNY--C2X,KNY--Y1x,KNY--Y1X,KNY--Y2x,KNY--Y2X,KYY--C1x,KYY--C1X,KYY--C2x,KYY--C2X,KYY--Y1x,KYY--Y1X,KYY--Y2x,KYY--Y2X,KNF--C1x,KNF--C1X,KNF--C2x,KNF--C2X,KNF--Y1x,KNF--Y1X,KNF--Y2x,KNF--Y2X,KYF--C1x,KYF--C1X,KYF--C2x,KYF--C2X,KYF--Y1x,KYF--Y1X,KYF--Y2x,KYF--Y2X,KNYNYC1x,KNYNYC1X,KNYNYC2x,KNYNYC2X,KNYNYY1x,KNYNYY1X,KNYNYY2x,KNYNYY2X,KYYYYC1x,KYYYYC1X,KYYYYC2x,KYYYYC2X,KYYYYY1x,KYYYYY1X,KYYYYY2x,KYYYYY2X,KNFNFC1x,KNFNFC1X,KNFNFC2x,KNFNFC2X,KNFNFY1x,KNFNFY1X,KNFNFY2x,KNFNFY2X,KYFYFC1x,KYFYFC1X,KYFYFC2x,KYFYFC2X,KYFYFY1x,KYFYFY1X,KYFYFY2x,KYFYFY2X,TNY--C1x,TNY--C1X,TNY--C2x,TNY--C2X,TNY--Y1x,TNY--Y1X,TNY--Y2x,TNY--Y2X,TYY--C1x,TYY--C1X,TYY--C2x,TYY--C2X,TYY--Y1x,TYY--Y1X,TYY--Y2x,TYY--Y2X,TNF--C1x,TNF--C1X,TNF--C2x,TNF--C2X,TNF--Y1x,TNF--Y1X,TNF--Y2x,TNF--Y2X,TYF--C1x,TYF--C1X,TYF--C2x,TYF--C2X,TYF--Y1x,TYF--Y1X,TYF--Y2x,TYF--Y2X,TNYNYC1x,TNYNYC1X,TNYNYC2x,TNYNYC2X,TNYNYY1x,TNYNYY1X,TNYNYY2x,TNYNYY2X,TYYYYC1x,TYYYYC1X,TYYYYC2x,TYYYYC2X,TYYYYY1x,TYYYYY1X,TYYYYY2x,TYYYYY2X,TNFNFC1x,TNFNFC1X,TNFNFC2x,TNFNFC2X,TNFNFY1x,TNFNFY1X,TNFNFY2x,TNFNFY2X,TYFYFC1x,TYFYFC1X,TYFYFC2x,TYFYFC2X,TYFYFY1x,TYFYFY1X,TYFYFY2x,TYFYFY2X
8095,1228726.0,5.015945,19542.5,1.5904685015210875,0.00262651,0.0,0.00116026,0.0,0.0003729445,0.0,0.000326322,0.0,0.0018409899999999998,0.0,0.0007814455,0.0,0.00027636049999999997,0.0,0.000237499,0.0,1.2748099999999999e-05,0.0,6.2618e-06,0.0,0.0,0.0,0.0,0.0,6.39812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4358e-05,0.0,6.36822e-06,0.0,0.0,0.0,0.0,0.0,6.4264649999999995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298796,0.0,0.130721,0.0,0.0210433,0.0,0.016779350000000002,0.0,0.3168475,0.0,0.140794,0.0,0.026952499999999997,0.0,0.0215724,0.0,0.0008826055,0.0,0.000354409,0.0,8.684240000000001e-05,0.0,5.93005e-05,0.0,0.000551073,0.0,0.000207837,0.0,7.06177e-05,0.0,6.538e-05,0.0,0.0008523204999999999,0.0,0.000359501,0.0,0.000125589,0.0,5.890435e-05,0.0,0.0005643915,0.0,0.0002354875,0.0,6.485905e-05,0.0,5.409075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8126,1229596.5,5.009835,21635.0,1.75952029791887,0.0027584899999999997,0.0,0.0012510899999999998,0.0,0.00040797299999999995,0.0,0.00031002199999999997,0.0,0.00187964,0.0,0.000812514,0.0,0.0002835335,0.0,0.00025418399999999996,0.0,1.275575e-05,0.0,3.200075e-06,0.0,0.0,0.0,0.0,0.0,6.410565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.289915e-05,0.0,6.38939e-06,0.0,0.0,0.0,0.0,0.0,6.386264999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2988715,0.0,0.13125950000000003,0.0,0.0216325,0.0,0.017125349999999998,0.0,0.3155905,0.0,0.14041150000000002,0.0,0.027254999999999998,0.0,0.02185865,0.0,0.0009427295,0.0,0.0003705405,0.0,0.00010260020000000001,0.0,6.557295e-05,0.0,0.000580792,0.0,0.00021688800000000001,0.0,7.083004999999999e-05,0.0,6.272605e-05,0.0,0.0009194884999999999,0.0,0.00038371399999999995,0.0,0.000121414,0.0,6.53835e-05,0.0,0.0005828135,0.0,0.0002369055,0.0,7.939895e-05,0.0,5.4829250000000004e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8156,1230409.0,5.005895,20916.0,1.6999225460802059,0.00281987,0.0,0.00129066,0.0,0.00043944799999999994,0.0,0.00033774399999999996,0.0,0.00199415,0.0,0.0008300730000000001,0.0,0.00030906499999999997,0.0,0.0002633505,0.0,1.085155e-05,0.0,6.329775e-06,0.0,0.0,0.0,0.0,0.0,6.38948e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57826e-05,0.0,6.361305e-06,0.0,0.0,0.0,0.0,0.0,6.4031600000000005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29972,0.0,0.13141350000000002,0.0,0.0218734,0.0,0.01727355,0.0,0.314708,0.0,0.13966499999999998,0.0,0.027186749999999996,0.0,0.02204745,0.0,0.0009766245,0.0,0.00038930850000000006,0.0,0.00010813199999999999,0.0,7.22707e-05,0.0,0.0005843504999999999,0.0,0.0002291105,0.0,7.52808e-05,0.0,7.013935e-05,0.0,0.000955413,0.0,0.00040635249999999997,0.0,0.00012668599999999999,0.0,6.67368e-05,0.0,0.0006018754999999999,0.0,0.00024242950000000001,0.0,7.933859999999999e-05,0.0,5.469935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8187,1231309.0,4.99704,21611.5,1.755164625613879,0.002913215,0.0,0.0013559050000000001,0.0,0.00044585900000000006,0.0,0.000350912,0.0,0.00203857,0.0,0.0008725855,0.0,0.00034072050000000004,0.0,0.0002669725,0.0,1.2848650000000001e-05,0.0,6.34917e-06,0.0,0.0,0.0,0.0,0.0,6.435979999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.595755e-05,0.0,6.4095749999999995e-06,0.0,0.0,0.0,0.0,0.0,6.370229999999999e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30014399999999997,0.0,0.132136,0.0,0.0223253,0.0,0.0175616,0.0,0.31367,0.0,0.1391655,0.0,0.027704350000000003,0.0,0.022116999999999998,0.0,0.00103887,0.0,0.0004040595,0.0,9.947475e-05,0.0,7.36871e-05,0.0,0.0006222584999999999,0.0,0.000242953,0.0,7.883375000000001e-05,0.0,7.021324999999999e-05,0.0,0.000979216,0.0,0.000398063,0.0,0.00014090100000000003,0.0,6.996334999999999e-05,0.0,0.0006249935000000001,0.0,0.000238982,0.0,8.376790000000001e-05,0.0,5.695375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8217,1232124.5,4.98784,20914.5,1.6974339849585005,0.003009055,0.0,0.001352215,0.0,0.00048694200000000003,0.0,0.000375311,0.0,0.002065795,0.0,0.0008996735,0.0,0.000355354,0.0,0.0002832155,0.0,1.28931e-05,0.0,6.3702599999999996e-06,0.0,0.0,0.0,0.0,0.0,6.413310000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.760885e-05,0.0,6.40997e-06,0.0,0.0,0.0,0.0,0.0,6.39642e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3000385,0.0,0.1321545,0.0,0.0229972,0.0,0.017652750000000002,0.0,0.3129095,0.0,0.13859,0.0,0.02761195,0.0,0.0221188,0.0,0.00106126,0.0,0.00041027749999999997,0.0,0.000104242,0.0,8.601814999999999e-05,0.0,0.000629087,0.0,0.0002662145,0.0,7.807685e-05,0.0,6.902279999999999e-05,0.0,0.00101528,0.0,0.00039941099999999996,0.0,0.0001549315,0.0,7.390579999999999e-05,0.0,0.0006408215,0.0,0.000246801,0.0,8.8331e-05,0.0,6.457135e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8248,1232995.0,4.979975,21553.0,1.7480200649637672,0.00322393,0.0,0.00139479,0.0,0.00047735599999999996,0.0,0.0003625585,0.0,0.002125055,0.0,0.0009280555000000001,0.0,0.0003695505,0.0,0.0002876635,0.0,1.29687e-05,0.0,6.38337e-06,0.0,0.0,0.0,0.0,0.0,6.414185e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9009700000000002e-05,0.0,6.394845e-06,0.0,0.0,0.0,0.0,0.0,6.405065e-06,0.0,3.1664e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300222,0.0,0.1325605,0.0,0.023728199999999998,0.0,0.017957050000000002,0.0,0.31178700000000004,0.0,0.1379075,0.0,0.0278509,0.0,0.02178305,0.0,0.00109181,0.0,0.00043217949999999994,0.0,0.0001226395,0.0,9.57421e-05,0.0,0.0006436795,0.0,0.0002557245,0.0,7.754465e-05,0.0,5.70584e-05,0.0,0.0010396899999999998,0.0,0.000400133,0.0,0.000166278,0.0,6.99264e-05,0.0,0.0006413785,0.0,0.0002470425,0.0,8.993455000000001e-05,0.0,6.988885e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8279,1233890.0,4.983655000000001,21575.0,1.7485351206347404,0.003323925,0.0,0.001444355,0.0,0.0005188265,0.0,0.0003456105,0.0,0.0021667300000000004,0.0,0.0009685215,0.0,0.00039897999999999995,0.0,0.00029340249999999996,0.0,1.4761e-05,0.0,6.341825e-06,0.0,0.0,0.0,0.0,0.0,6.423595e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9149100000000003e-05,0.0,6.3686150000000005e-06,0.0,1.59442e-06,0.0,0.0,0.0,6.381585e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300056,0.0,0.1323335,0.0,0.02407475,0.0,0.0179665,0.0,0.3105215,0.0,0.1374535,0.0,0.0280029,0.0,0.02177255,0.0,0.0010932749999999999,0.0,0.000441474,0.0,0.000125434,0.0,0.00010001155,0.0,0.000658334,0.0,0.000266379,0.0,9.008425e-05,0.0,6.105525e-05,0.0,0.00108939,0.0,0.000416915,0.0,0.00016570850000000001,0.0,8.00532e-05,0.0,0.0006442005,0.0,0.0002445045,0.0,9.147795e-05,0.0,7.08556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8309,1234722.5,4.97055,20890.0,1.6918781345605995,0.003343205,0.0,0.001537165,0.0,0.0005544,0.0,0.0003622365,0.0,0.00222207,0.0,0.0009850285,0.0,0.000392359,0.0,0.000304758,0.0,1.594505e-05,0.0,6.355875e-06,0.0,0.0,0.0,0.0,0.0,6.428905000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22369e-05,0.0,6.4248200000000004e-06,0.0,1.5875249999999999e-06,0.0,0.0,0.0,6.371680000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.300959,0.0,0.13295449999999998,0.0,0.02436495,0.0,0.018249500000000002,0.0,0.31004,0.0,0.1373385,0.0,0.02782795,0.0,0.0216436,0.0,0.001125425,0.0,0.0004257595,0.0,0.000148845,0.0,0.000110124,0.0,0.0006557305,0.0,0.00028054,0.0,8.506805000000001e-05,0.0,6.751275e-05,0.0,0.00110033,0.0,0.00039231849999999996,0.0,0.000162713,0.0,8.842565e-05,0.0,0.0006588774999999999,0.0,0.00023535450000000002,0.0,8.406344999999999e-05,0.0,7.115600000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8340,1235628.5,4.962085,21532.0,1.7425949628063775,0.003425465,0.0,0.0015516599999999998,0.0,0.00057233,0.0,0.000369141,0.0,0.00227853,0.0,0.001014245,0.0,0.00041067100000000004,0.0,0.000305191,0.0,1.6008900000000002e-05,0.0,6.366245e-06,0.0,0.0,0.0,0.0,0.0,8.538665000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92589e-05,0.0,6.491975000000001e-06,0.0,0.0,0.0,0.0,0.0,6.43445e-06,0.0,3.17056e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3015115,0.0,0.1323615,0.0,0.02521695,0.0,0.01814385,0.0,0.30790649999999997,0.0,0.1368845,0.0,0.027896300000000002,0.0,0.02142395,0.0,0.00115409,0.0,0.000431153,0.0,0.00015817,0.0,0.0001156135,0.0,0.0006624545,0.0,0.000270477,0.0,9.256835e-05,0.0,6.86607e-05,0.0,0.0011143099999999999,0.0,0.00042331750000000005,0.0,0.000181968,0.0,8.30035e-05,0.0,0.000652664,0.0,0.0002466075,0.0,8.078055e-05,0.0,7.972385e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8370,1236409.5,4.960595,20836.0,1.6852021923157336,0.0034872,0.0,0.0015989799999999998,0.0,0.000596761,0.0,0.000396777,0.0,0.00233397,0.0,0.001037835,0.0,0.000409614,0.0,0.000287742,0.0,1.59767e-05,0.0,6.357925e-06,0.0,3.20133e-06,0.0,0.0,0.0,6.4437799999999995e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8983350000000002e-05,0.0,9.040485e-06,0.0,3.207445e-06,0.0,0.0,0.0,6.419000000000001e-06,0.0,8.0328e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3019165,0.0,0.1323915,0.0,0.02559375,0.0,0.018272649999999998,0.0,0.306358,0.0,0.135824,0.0,0.027910200000000003,0.0,0.02133835,0.0,0.001173145,0.0,0.0004566645,0.0,0.00015195,0.0,0.0001227565,0.0,0.0006567335,0.0,0.000287508,0.0,9.36721e-05,0.0,7.066194999999999e-05,0.0,0.0011692200000000001,0.0,0.00043981850000000003,0.0,0.00019288950000000002,0.0,9.45043e-05,0.0,0.000652802,0.0,0.000254754,0.0,8.312975e-05,0.0,7.260775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8401,1237272.5,4.95739,21542.5,1.7411281669963568,0.0036983650000000003,0.0,0.001641625,0.0,0.000656769,0.0,0.000390187,0.0,0.002374055,0.0,0.001078955,0.0,0.00043986199999999996,0.0,0.000286287,0.0,1.60581e-05,0.0,6.385985e-06,0.0,3.206935e-06,0.0,0.0,0.0,6.4218050000000004e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921975e-05,0.0,9.550615e-06,0.0,3.2211950000000003e-06,0.0,0.0,0.0,6.418834999999999e-06,0.0,3.214915e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3021045,0.0,0.132618,0.0,0.026153549999999998,0.0,0.01859475,0.0,0.305527,0.0,0.1351255,0.0,0.02806865,0.0,0.02120215,0.0,0.001234745,0.0,0.0004708425,0.0,0.00016497000000000001,0.0,0.00011368000000000001,0.0,0.0007142445,0.0,0.000291487,0.0,9.621715e-05,0.0,6.482195000000001e-05,0.0,0.00123331,0.0,0.0004632455,0.0,0.000199261,0.0,9.943564999999999e-05,0.0,0.0006621649999999999,0.0,0.000244656,0.0,8.767845000000001e-05,0.0,7.185684999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8432,1238145.0,4.95843,21561.0,1.7413953939158984,0.00376923,0.0,0.001761315,0.0,0.0006707740000000001,0.0,0.0004318225,0.0,0.00248373,0.0,0.001072015,0.0,0.0004414645,0.0,0.00027741850000000004,0.0,1.600285e-05,0.0,6.394275e-06,0.0,4.758965000000001e-06,0.0,0.0,0.0,6.466390000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.185995e-05,0.0,9.601299999999999e-06,0.0,6.41176e-06,0.0,0.0,0.0,6.4257e-06,0.0,3.2325999999999998e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3031075,0.0,0.1320115,0.0,0.026567549999999995,0.0,0.018863950000000004,0.0,0.30508500000000005,0.0,0.1346545,0.0,0.028331250000000002,0.0,0.0210709,0.0,0.001245435,0.0,0.000499368,0.0,0.0001939765,0.0,0.00010933049999999999,0.0,0.0007278489999999999,0.0,0.0003150635,0.0,9.661850000000001e-05,0.0,7.52016e-05,0.0,0.00127542,0.0,0.000470542,0.0,0.000216045,0.0,0.0001097345,0.0,0.0006852935000000001,0.0,0.00025521850000000004,0.0,8.71231e-05,0.0,6.95831e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8460,1238922.5,4.95727,19469.5,1.5714865134824816,0.0038632049999999998,0.0,0.00177932,0.0,0.0006881795,0.0,0.0004481885,0.0,0.00252576,0.0,0.001095995,0.0,0.00042652499999999997,0.0,0.0003227265,0.0,1.893905e-05,0.0,6.36527e-06,0.0,0.0,0.0,0.0,0.0,6.44497e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.188435e-05,0.0,6.50329e-06,0.0,6.4056e-06,0.0,0.0,0.0,6.459575e-06,0.0,6.34784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3039745,0.0,0.132389,0.0,0.027524399999999997,0.0,0.0190267,0.0,0.3023905,0.0,0.13378849999999998,0.0,0.02849525,0.0,0.021051399999999998,0.0,0.0012229049999999998,0.0,0.0005078615,0.0,0.000190454,0.0,0.0001054335,0.0,0.0007517229999999999,0.0,0.000323637,0.0,9.50885e-05,0.0,7.208274999999999e-05,0.0,0.00129691,0.0,0.000473852,0.0,0.000221269,0.0,0.0001053065,0.0,0.0006860480000000001,0.0,0.000274252,0.0,8.83027e-05,0.0,7.095484999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8491,1239775.5,4.9484699999999995,21552.0,1.7383792468878438,0.00396403,0.0,0.00183094,0.0,0.000687391,0.0,0.00046501,0.0,0.0026463399999999996,0.0,0.001102565,0.0,0.0004870005,0.0,0.00034531899999999996,0.0,1.595975e-05,0.0,6.359160000000001e-06,0.0,0.0,0.0,0.0,0.0,6.47507e-06,0.0,1.07875e-06,0.0,0.0,0.0,0.0,0.0,2.48662e-05,0.0,6.469979999999999e-06,0.0,6.403615e-06,0.0,0.0,0.0,6.471925e-06,0.0,6.310705e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303565,0.0,0.13249,0.0,0.02810935,0.0,0.01898375,0.0,0.3013755,0.0,0.133835,0.0,0.02883945,0.0,0.021293649999999997,0.0,0.001256325,0.0,0.0005530475,0.0,0.00018094200000000002,0.0,0.00011483149999999999,0.0,0.0008241835,0.0,0.00032114249999999996,0.0,9.821175e-05,0.0,7.990495e-05,0.0,0.00133293,0.0,0.0004908185,0.0,0.000241113,0.0,0.000113111,0.0,0.0007103400000000001,0.0,0.000272485,0.0,9.178535e-05,0.0,8.456215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8521,1240601.5,4.950345,20859.5,1.6814021263072791,0.0040725399999999995,0.0,0.001879365,0.0,0.0007127535,0.0,0.0004960975,0.0,0.00261956,0.0,0.00114748,0.0,0.0004880895,0.0,0.000353308,0.0,1.920305e-05,0.0,6.363085000000001e-06,0.0,0.0,0.0,0.0,0.0,8.567635000000002e-06,0.0,6.2894400000000006e-06,0.0,0.0,0.0,0.0,0.0,2.65983e-05,0.0,1.2600700000000001e-05,0.0,6.37741e-06,0.0,0.0,0.0,6.42463e-06,0.0,6.35498e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30396650000000003,0.0,0.132586,0.0,0.02857315,0.0,0.0194504,0.0,0.2991825,0.0,0.13269999999999998,0.0,0.02891315,0.0,0.0211855,0.0,0.00129119,0.0,0.000566984,0.0,0.0001862655,0.0,0.00011378150000000001,0.0,0.000860434,0.0,0.0003300865,0.0,0.000108064,0.0,9.040090000000001e-05,0.0,0.001411725,0.0,0.0005250495,0.0,0.0002742885,0.0,0.0001247875,0.0,0.0007529094999999999,0.0,0.0002841545,0.0,8.930025e-05,0.0,9.566730000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8552,1241414.0,4.9507449999999995,21585.0,1.7387430784573075,0.004198905,0.0,0.001890485,0.0,0.00076909,0.0,0.000509504,0.0,0.0027702150000000004,0.0,0.001186715,0.0,0.0004895069999999999,0.0,0.000379415,0.0,1.94164e-05,0.0,6.378489999999999e-06,0.0,0.0,0.0,2.64523e-06,0.0,9.656174999999999e-06,0.0,3.21147e-06,0.0,0.0,0.0,0.0,0.0,2.876295e-05,0.0,9.565425e-06,0.0,6.4274000000000005e-06,0.0,3.17605e-06,0.0,6.47665e-06,0.0,6.355565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30393149999999997,0.0,0.13279449999999998,0.0,0.0294885,0.0,0.01971985,0.0,0.2972705,0.0,0.13196750000000002,0.0,0.0287863,0.0,0.021259550000000002,0.0,0.00135876,0.0,0.000602951,0.0,0.0001968205,0.0,0.0001110355,0.0,0.0009022090000000001,0.0,0.000352324,0.0,0.0001177665,0.0,0.00010047395000000001,0.0,0.001460255,0.0,0.0005435275,0.0,0.000306464,0.0,0.00011900650000000001,0.0,0.000754098,0.0,0.000297392,0.0,9.372395e-05,0.0,0.00010703700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
