current_time,blood_slide_prev,KNY--C1x,KNY--C1X,KNY--C2x,KNY--C2X,KNY--Y1x,KNY--Y1X,KNY--Y2x,KNY--Y2X,KYY--C1x,KYY--C1X,KYY--C2x,KYY--C2X,KYY--Y1x,KYY--Y1X,KYY--Y2x,KYY--Y2X,KNF--C1x,KNF--C1X,KNF--C2x,KNF--C2X,KNF--Y1x,KNF--Y1X,KNF--Y2x,KNF--Y2X,KYF--C1x,KYF--C1X,KYF--C2x,KYF--C2X,KYF--Y1x,KYF--Y1X,KYF--Y2x,KYF--Y2X,KNYNYC1x,KNYNYC1X,KNYNYC2x,KNYNYC2X,KNYNYY1x,KNYNYY1X,KNYNYY2x,KNYNYY2X,KYYYYC1x,KYYYYC1X,KYYYYC2x,KYYYYC2X,KYYYYY1x,KYYYYY1X,KYYYYY2x,KYYYYY2X,KNFNFC1x,KNFNFC1X,KNFNFC2x,KNFNFC2X,KNFNFY1x,KNFNFY1X,KNFNFY2x,KNFNFY2X,KYFYFC1x,KYFYFC1X,KYFYFC2x,KYFYFC2X,KYFYFY1x,KYFYFY1X,KYFYFY2x,KYFYFY2X,TNY--C1x,TNY--C1X,TNY--C2x,TNY--C2X,TNY--Y1x,TNY--Y1X,TNY--Y2x,TNY--Y2X,TYY--C1x,TYY--C1X,TYY--C2x,TYY--C2X,TYY--Y1x,TYY--Y1X,TYY--Y2x,TYY--Y2X,TNF--C1x,TNF--C1X,TNF--C2x,TNF--C2X,TNF--Y1x,TNF--Y1X,TNF--Y2x,TNF--Y2X,TYF--C1x,TYF--C1X,TYF--C2x,TYF--C2X,TYF--Y1x,TYF--Y1X,TYF--Y2x,TYF--Y2X,TNYNYC1x,TNYNYC1X,TNYNYC2x,TNYNYC2X,TNYNYY1x,TNYNYY1X,TNYNYY2x,TNYNYY2X,TYYYYC1x,TYYYYC1X,TYYYYC2x,TYYYYC2X,TYYYYY1x,TYYYYY1X,TYYYYY2x,TYYYYY2X,TNFNFC1x,TNFNFC1X,TNFNFC2x,TNFNFC2X,TNFNFY1x,TNFNFY1X,TNFNFY2x,TNFNFY2X,TYFYFC1x,TYFYFC1X,TYFYFC2x,TYFYFC2X,TYFYFY1x,TYFYFY1X,TYFYFY2x,TYFYFY2X
8156,5.234555,0.00335935,0,0.0009741645,0,0.0004553095,0,0.000257292,0,0.0020142149999999998,0,0.0005983965,0,0.00030112149999999996,0,0.0001473685,0,1.80267e-05,0,5.650675e-06,0,0.0,0,0.0,0,8.443835000000001e-06,0,0.0,0,0.0,0,0.0,0,1.708825e-05,0,2.3817700000000002e-06,0,0.0,0,0.0,0,8.41083e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.339259,0,0.106104,0,0.0216906,0,0.015941399999999998,0,0.35135,0,0.10184000000000001,0,0.026506,0,0.01618575,0,0.00107613,0,0.0003150775,0,0.00012559449999999998,0,6.774845e-05,0,0.0007069429999999999,0,0.0001821155,0,6.75856e-05,0,4.27858e-05,0,0.00105119,0,0.000252685,0,9.4254e-05,0,7.038005e-05,0,0.0007338715,0,0.000188831,0,9.14353e-05,0,3.405005e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8187,5.237775,0.0034737,0,0.001007235,0,0.00048376800000000003,0,0.000287577,0,0.002064345,0,0.000654111,0,0.000329986,0,0.00014279400000000002,0,1.9726449999999998e-05,0,5.640409999999999e-06,0,0.0,0,0.0,0,8.41442e-06,0,0.0,0,0.0,0,0.0,0,1.7137699999999997e-05,0,0.0,0,0.0,0,0.0,0,8.589155e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.34016500000000005,0,0.10644350000000001,0,0.0222177,0,0.0157318,0,0.34997900000000004,0,0.101605,0,0.02685785,0,0.01648785,0,0.0010911699999999998,0,0.00032514999999999996,0,0.0001315065,0,6.94086e-05,0,0.000731719,0,0.00018378049999999999,0,6.91029e-05,0,4.36592e-05,0,0.0011088650000000001,0,0.0002659035,0,0.000109159,0,6.16547e-05,0,0.000760815,0,0.0001900065,0,9.202780000000001e-05,0,3.8200350000000004e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8217,5.245915,0.003567645,0,0.0010169900000000002,0,0.0005053099999999999,0,0.0003275695,0,0.00210948,0,0.0006597840000000001,0,0.00035350050000000004,0,0.00014642749999999998,0,1.97982e-05,0,5.62482e-06,0,0.0,0,0.0,0,6.61404e-06,0,0.0,0,0.0,0,0.0,0,1.97151e-05,0,2.83093e-06,0,0.0,0,0.0,0,1.0186775e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.340333,0,0.1069275,0,0.0227619,0,0.0159513,0,0.34821650000000004,0,0.10155449999999999,0,0.02704795,0,0.016417050000000002,0,0.0011537449999999999,0,0.00033036899999999995,0,0.0001462465,0,6.612405e-05,0,0.0007778120000000001,0,0.000189582,0,6.85944e-05,0,4.6194850000000004e-05,0,0.0011334399999999999,0,0.00028979,0,0.000107126,0,6.730399999999999e-05,0,0.0007684365000000001,0,0.00020230099999999997,0,9.44031e-05,0,4.086255e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8248,5.246145,0.0036572,0,0.00105221,0,0.000508746,0,0.000355885,0,0.0022180150000000003,0,0.0006687160000000001,0,0.000356466,0,0.00015229700000000002,0,1.99298e-05,0,5.600660000000001e-06,0,0.0,0,0.0,0,8.317775e-06,0,3.808355e-06,0,0.0,0,0.0,0,2.2438450000000002e-05,0,5.591845e-06,0,0.0,0,0.0,0,1.10703e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.340659,0,0.1065485,0,0.02332435,0,0.01610925,0,0.3468265,0,0.1011715,0,0.0274314,0,0.01641335,0,0.00124064,0,0.0003260795,0,0.0001474405,0,7.12214e-05,0,0.0008011755,0,0.00019931350000000002,0,7.744825e-05,0,4.904505e-05,0,0.00119754,0,0.00030518449999999996,0,0.00011561050000000001,0,6.684445e-05,0,0.0007424385,0,0.0002058855,0,8.867535e-05,0,3.9012349999999996e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8279,5.258535,0.003751745,0,0.0010850550000000001,0,0.0005227525,0,0.000368521,0,0.0022998899999999997,0,0.000692475,0,0.0003763245,0,0.000159937,0,2.228725e-05,0,5.5966450000000005e-06,0,9.414950000000001e-07,0,0.0,0,8.360755e-06,0,0.0,0,0.0,0,0.0,0,2.248715e-05,0,5.615160000000001e-06,0,0.0,0,0.0,0,1.11847e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3405915,0,0.10696549999999999,0,0.0239156,0,0.0161945,0,0.34608550000000005,0,0.101017,0,0.02783665,0,0.016351749999999998,0,0.001258235,0,0.0003367265,0,0.00015442549999999998,0,6.707865e-05,0,0.0007693025000000001,0,0.00021706300000000003,0,8.292945e-05,0,5.860485e-05,0,0.0012189050000000002,0,0.0002876245,0,0.000133706,0,7.772135e-05,0,0.000740711,0,0.00020916449999999997,0,9.22295e-05,0,4.356939999999999e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8309,5.258195,0.003782435,0,0.001091985,0,0.000529946,0,0.0003665815,0,0.0023670799999999997,0,0.0007235289999999999,0,0.000383778,0,0.00018142450000000002,0,2.5174550000000004e-05,0,5.574245e-06,0,0.0,0,0.0,0,8.441325e-06,0,0.0,0,0.0,0,0.0,0,2.245275e-05,0,5.602555e-06,0,2.779665e-06,0,0.0,0,1.1079600000000001e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.341109,0,0.1073675,0,0.0244771,0,0.0163501,0,0.345113,0,0.10088349999999999,0,0.027859400000000003,0,0.0162085,0,0.00129046,0,0.0003515065,0,0.000161388,0,6.96909e-05,0,0.0008174755,0,0.00021388,0,8.67126e-05,0,5.73398e-05,0,0.00126544,0,0.000305747,0,0.000137745,0,8.474679999999999e-05,0,0.0007569515,0,0.0002021735,0,9.91803e-05,0,4.52152e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8340,5.25192,0.003933955,0,0.00114207,0,0.0005396875,0,0.0004019615,0,0.00242133,0,0.0007590855,0,0.000405397,0,0.00018906799999999997,0,2.783065e-05,0,5.524955000000001e-06,0,9.35715e-07,0,0.0,0,1.1001949999999999e-05,0,0.0,0,0.0,0,0.0,0,2.4038399999999997e-05,0,5.57088e-06,0,5.044905e-06,0,0.0,0,1.11752e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.341499,0,0.10740150000000001,0,0.02488015,0,0.016569399999999998,0,0.3436855,0,0.1001505,0,0.0279342,0,0.01578075,0,0.0013208550000000001,0,0.000359582,0,0.00016461050000000002,0,7.070525e-05,0,0.0008159225,0,0.000224481,0,9.420890000000001e-05,0,6.69693e-05,0,0.0013164600000000002,0,0.00030828599999999996,0,0.0001570875,0,7.32308e-05,0,0.0007544440000000001,0,0.00021269150000000002,0,9.692070000000001e-05,0,4.108785e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8370,5.243885000000001,0.00406021,0,0.00121152,0,0.0005886725,0,0.0004234895,0,0.00250146,0,0.0007920945000000001,0,0.0003913435,0,0.00021047900000000002,0,2.876105e-05,0,5.527914999999999e-06,0,0.0,0,0.0,0,1.098095e-05,0,0.0,0,0.0,0,0.0,0,2.62799e-05,0,5.56929e-06,0,5.49039e-06,0,0.0,0,1.105765e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.34213649999999995,0,0.1075885,0,0.0254373,0,0.0167213,0,0.34238100000000005,0,0.09953635,0,0.027893100000000004,0,0.015591849999999999,0,0.001357955,0,0.000376078,0,0.0001856535,0,7.411475e-05,0,0.0008219055000000001,0,0.0002391395,0,8.77586e-05,0,6.336079999999999e-05,0,0.00133763,0,0.000328657,0,0.0001652165,0,8.575495e-05,0,0.0007643875,0,0.000212334,0,9.625245e-05,0,4.3376550000000004e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8401,5.24466,0.00416564,0,0.001245285,0,0.000617288,0,0.00040747900000000003,0,0.002575375,0,0.0008145464999999999,0,0.000404811,0,0.0002426455,0,2.792855e-05,0,5.540395e-06,0,9.313500000000001e-07,0,0.0,0,8.30541e-06,0,0.0,0,0.0,0,0.0,0,2.45804e-05,0,5.528835e-06,0,5.49254e-06,0,0.0,0,8.400579999999999e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.34321999999999997,0,0.1072525,0,0.0257407,0,0.01709575,0,0.3405135,0,0.0993823,0,0.0282875,0,0.015615150000000001,0,0.001396385,0,0.00040037899999999997,0,0.0001957485,0,7.24111e-05,0,0.000809454,0,0.0002368215,0,9.408935000000001e-05,0,6.584595e-05,0,0.0013974249999999999,0,0.0003431365,0,0.000173814,0,8.98953e-05,0,0.0007995705,0,0.0002112695,0,9.218445e-05,0,4.0263249999999994e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8432,5.251745,0.004322899999999999,0,0.001268875,0,0.000656089,0,0.0004039525,0,0.00263237,0,0.0008339165,0,0.00042365550000000006,0,0.000247355,0,2.658465e-05,0,5.508294999999999e-06,0,5.458935e-06,0,0.0,0,1.09913e-05,0,0.0,0,0.0,0,0.0,0,2.63397e-05,0,5.462445e-06,0,5.51968e-06,0,0.0,0,1.1053200000000001e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3432165,0,0.10762250000000001,0,0.02625905,0,0.017557800000000002,0,0.3382425,0,0.09865499999999999,0,0.02825695,0,0.015620100000000001,0,0.001426285,0,0.00039748349999999997,0,0.0002141595,0,7.659685e-05,0,0.0008518919999999999,0,0.00022859800000000002,0,0.0001050855,0,7.409765e-05,0,0.001388555,0,0.00036265150000000003,0,0.0001897,0,9.26031e-05,0,0.00084261,0,0.0002083275,0,9.04395e-05,0,4.108795e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8460,5.255405,0.0044835299999999995,0,0.001282555,0,0.0006889885,0,0.0004088895,0,0.002689475,0,0.0008267135000000001,0,0.000455283,0,0.0002359875,0,2.783625e-05,0,5.494660000000001e-06,0,5.0423049999999995e-06,0,0.0,0,1.10217e-05,0,0.0,0,0.0,0,0.0,0,2.975825e-05,0,5.48775e-06,0,5.53533e-06,0,0.0,0,1.103705e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.343791,0,0.107213,0,0.02685,0,0.018097500000000002,0,0.33646600000000004,0,0.09837679999999999,0,0.028531149999999998,0,0.015677649999999998,0,0.0014593499999999999,0,0.0003945615,0,0.00020347700000000003,0,7.63743e-05,0,0.0008478725,0,0.0002260475,0,0.00010368095000000001,0,6.974885e-05,0,0.00144448,0,0.000356931,0,0.000201801,0,9.46692e-05,0,0.0008556085000000001,0,0.0002147745,0,9.500834999999998e-05,0,4.0971349999999995e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8491,5.249890000000001,0.00459121,0,0.001305575,0,0.0006997129999999999,0,0.000438475,0,0.002766995,0,0.0008500224999999999,0,0.0004447215,0,0.000238884,0,2.77172e-05,0,5.50656e-06,0,5.459545000000001e-06,0,0.0,0,1.1059350000000001e-05,0,0.0,0,0.0,0,0.0,0,2.8380499999999997e-05,0,5.4879349999999995e-06,0,5.496500000000001e-06,0,0.0,0,1.108265e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.343904,0,0.10747799999999999,0,0.02761415,0,0.0183274,0,0.3349035,0,0.09834545,0,0.02859975,0,0.0158426,0,0.00148351,0,0.0004162695,0,0.0002427865,0,8.280000000000001e-05,0,0.0008880909999999999,0,0.00023575849999999998,0,0.000110161,0,6.810475e-05,0,0.001440815,0,0.000350814,0,0.0001995365,0,9.97713e-05,0,0.0008512645,0,0.00020695499999999999,0,8.834549999999999e-05,0,3.86859e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8521,5.24586,0.00469139,0,0.00135277,0,0.0007036725,0,0.0004583555,0,0.00290813,0,0.0008939120000000001,0,0.00045185449999999997,0,0.0002518595,0,2.76394e-05,0,5.523e-06,0,5.4514e-06,0,0.0,0,1.09907e-05,0,0.0,0,0.0,0,0.0,0,2.9542899999999998e-05,0,5.4983599999999995e-06,0,5.5176150000000005e-06,0,0.0,0,1.09999e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3448295,0,0.10682900000000001,0,0.028271450000000004,0,0.01841595,0,0.33395850000000005,0,0.0975553,0,0.028727400000000004,0,0.0154993,0,0.00154853,0,0.00041005450000000004,0,0.000238862,0,9.085230000000001e-05,0,0.0008759045,0,0.0002276065,0,0.0001110625,0,6.98143e-05,0,0.001484665,0,0.000376376,0,0.000219038,0,0.0001055825,0,0.000865,0,0.00020208299999999998,0,8.389715e-05,0,4.003605e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8552,5.25121,0.00476605,0,0.001383535,0,0.0007492180000000001,0,0.0004679465,0,0.002977315,0,0.000888502,0,0.0004508515,0,0.0002847295,0,3.2743399999999996e-05,0,5.490945e-06,0,5.4373850000000005e-06,0,0.0,0,1.0943499999999998e-05,0,0.0,0,0.0,0,0.0,0,3.410865e-05,0,5.505425e-06,0,5.49497e-06,0,0.0,0,1.10308e-05,0,0.0,0,2.7418099999999996e-06,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3454675,0,0.106141,0,0.0288377,0,0.01860485,0,0.332175,0,0.0974158,0,0.0287802,0,0.0156279,0,0.001615235,0,0.0004245965,0,0.000245302,0,9.96181e-05,0,0.0009132645,0,0.00022846449999999998,0,0.000120764,0,6.795695e-05,0,0.001509345,0,0.00038587600000000006,0,0.000234479,0,0.0001275405,0,0.000868593,0,0.00021501000000000002,0,8.647395e-05,0,4.36704e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8582,5.24948,0.0049267849999999995,0,0.001443485,0,0.000809283,0,0.00046227649999999997,0,0.00299897,0,0.0008822545,0,0.000466706,0,0.00027792500000000005,0,3.2651300000000004e-05,0,5.477365e-06,0,5.4429e-06,0,0.0,0,1.103685e-05,0,0.0,0,0.0,0,0.0,0,3.1224749999999996e-05,0,5.486985000000001e-06,0,5.4848500000000005e-06,0,9.04395e-07,0,1.096235e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.346464,0,0.10622999999999999,0,0.02962005,0,0.01849675,0,0.33011100000000004,0,0.09707070000000001,0,0.029104,0,0.0156579,0,0.00164712,0,0.00043214650000000007,0,0.0002672145,0,9.983055e-05,0,0.000967194,0,0.00023896250000000001,0,0.0001152095,0,7.00788e-05,0,0.00156223,0,0.00040964450000000003,0,0.00024384549999999997,0,0.000104852,0,0.00090106,0,0.00021278,0,9.175375e-05,0,4.649385e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8613,5.24525,0.005021275,0,0.001442465,0,0.000853147,0,0.00044579,0,0.00310829,0,0.000890878,0,0.0004782555,0,0.000268708,0,2.9757749999999998e-05,0,5.485994999999999e-06,0,5.466405e-06,0,0.0,0,1.092165e-05,0,0.0,0,0.0,0,0.0,0,3.272155e-05,0,5.473470000000001e-06,0,5.549364999999999e-06,0,2.2724749999999998e-06,0,1.0917699999999999e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.34697,0,0.106014,0,0.03036155,0,0.0186621,0,0.32806100000000005,0,0.09654555,0,0.02939385,0,0.01592505,0,0.00169728,0,0.0004381495,0,0.000270356,0,0.0001124275,0,0.0009384994999999999,0,0.00024666550000000003,0,0.000127051,0,6.942045e-05,0,0.001603365,0,0.000431436,0,0.00027266650000000003,0,0.000120383,0,0.000900615,0,0.000202996,0,9.77488e-05,0,4.83454e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8644,5.243365,0.005157925000000001,0,0.001513185,0,0.000888719,0,0.0004921395,0,0.00313211,0,0.0008757604999999999,0,0.000493464,0,0.000257536,0,2.848855e-05,0,6.45951e-06,0,5.439354999999999e-06,0,0.0,0,1.08858e-05,0,0.0,0,0.0,0,0.0,0,3.525675e-05,0,5.444944999999999e-06,0,9.029304999999999e-06,0,9.1971e-07,0,1.3436399999999999e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3478015,0,0.106044,0,0.031249499999999996,0,0.0188262,0,0.326299,0,0.09671740000000001,0,0.02973295,0,0.016042800000000003,0,0.001742155,0,0.000464095,0,0.00027136749999999996,0,0.000122682,0,0.0009472025,0,0.00025080949999999996,0,0.00013048200000000002,0,7.72112e-05,0,0.001597285,0,0.000444706,0,0.00029123850000000004,0,0.000122259,0,0.0009367245,0,0.0002161755,0,0.00011898699999999999,0,4.603455e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8674,5.250349999999999,0.0052574449999999995,0,0.001527315,0,0.0009382725,0,0.0005078070000000001,0,0.00319681,0,0.0009045645,0,0.0005134755,0,0.00026519499999999997,0,3.1889999999999995e-05,0,5.4553e-06,0,5.448735e-06,0,0.0,0,1.07717e-05,0,0.0,0,0.0,0,0.0,0,3.664035e-05,0,5.44156e-06,0,1.082085e-05,0,2.2536e-06,0,1.26595e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.3478675,0,0.1058085,0,0.0320276,0,0.01899755,0,0.3246465,0,0.09565965,0,0.0299221,0,0.01602705,0,0.001775025,0,0.000453877,0,0.0002898275,0,0.000124646,0,0.0009915365,0,0.00024106349999999997,0,0.000129108,0,7.017175000000001e-05,0,0.001611385,0,0.000473356,0,0.000291254,0,0.00012938200000000002,0,0.0009814379999999998,0,0.00021981650000000002,0,0.000117179,0,4.36937e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
8705,5.252135,0.005349165,0,0.00158931,0,0.00103108,0,0.0005117045,0,0.0033347100000000003,0,0.0009471244999999999,0,0.0005236085,0,0.000280263,0,2.9530499999999998e-05,0,5.462665e-06,0,5.446325e-06,0,0.0,0,8.208725e-06,0,0.0,0,0.0,0,0.0,0,3.66807e-05,0,5.480095e-06,0,1.081005e-05,0,5.3773300000000006e-06,0,1.089965e-05,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.34862550000000003,0,0.1063435,0,0.0325535,0,0.019132149999999997,0,0.323052,0,0.0950166,0,0.0302187,0,0.0161101,0,0.00182238,0,0.000465578,0,0.0003145835,0,0.000143281,0,0.00103772,0,0.000247617,0,0.00012520400000000002,0,7.274205e-05,0,0.0015864899999999999,0,0.0004852925,0,0.00030193449999999997,0,0.00012616599999999998,0,0.0010002055,0,0.0002258195,0,0.00013935599999999999,0,4.59302e-05,0,5.357465e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
